epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1675.17,1.95594,2.56552,1.02953,0.37004,0.17676,0.13188,0.06868,1.76442,1.55182,0.97496,0.000237412,0.000237412,0.000237412
2,1858.93,1.8093,1.60176,0.98067,0.22643,0.19932,0.15315,0.08411,1.7684,1.48368,0.96081,0.000465999,0.000465999,0.000465999
3,2041.44,1.78205,1.5018,0.97073,0.25814,0.22346,0.18553,0.10222,1.70001,1.38524,0.96116,0.000685161,0.000685161,0.000685161
4,2221.84,1.74413,1.42846,0.96279,0.29721,0.23369,0.20686,0.11551,1.66789,1.31843,0.95919,0.000671588,0.000671588,0.000671588
5,2405.48,1.72023,1.37074,0.95745,0.32288,0.24913,0.22275,0.12477,1.64922,1.28345,0.94247,0.000657451,0.000657451,0.000657451
6,2587.52,1.71252,1.3455,0.95122,0.30387,0.25293,0.22638,0.12788,1.63526,1.25751,0.93715,0.000643314,0.000643314,0.000643314
7,2767.95,1.68441,1.30327,0.94809,0.30644,0.26638,0.23296,0.13033,1.62266,1.25278,0.9392,0.000629177,0.000629177,0.000629177
8,2948.98,1.67841,1.28253,0.94195,0.33924,0.2593,0.24906,0.13937,1.60098,1.21271,0.93111,0.00061504,0.00061504,0.00061504
9,3130.71,1.65597,1.26367,0.94071,0.34567,0.26788,0.25071,0.13853,1.6028,1.23639,0.92929,0.000600902,0.000600902,0.000600902
10,3311.05,1.66278,1.2643,0.93963,0.32696,0.27862,0.2474,0.13775,1.59341,1.21267,0.93014,0.000586765,0.000586765,0.000586765
11,3490.38,1.64405,1.23865,0.93624,0.34094,0.27858,0.25489,0.14072,1.58727,1.20642,0.92591,0.000572628,0.000572628,0.000572628
12,3672.21,1.64565,1.2303,0.93185,0.3598,0.28135,0.26149,0.14618,1.58132,1.19357,0.92814,0.000558491,0.000558491,0.000558491
13,3855.98,1.63319,1.22085,0.93395,0.34688,0.28038,0.26075,0.14811,1.57204,1.18295,0.92736,0.000544354,0.000544354,0.000544354
14,4035.26,1.61604,1.20247,0.92993,0.37529,0.28052,0.2675,0.15044,1.56023,1.17596,0.92043,0.000530216,0.000530216,0.000530216
15,4214.05,1.61652,1.18914,0.9266,0.35998,0.28912,0.26931,0.15141,1.56103,1.16636,0.92036,0.000516079,0.000516079,0.000516079
16,4392.47,1.61091,1.18447,0.92522,0.37723,0.29236,0.27469,0.15505,1.54685,1.15982,0.91782,0.000501942,0.000501942,0.000501942
17,4572.33,1.60892,1.18284,0.92396,0.37554,0.29218,0.27674,0.15645,1.53735,1.13707,0.92091,0.000487805,0.000487805,0.000487805
18,4751.36,1.60294,1.17532,0.92539,0.37501,0.29661,0.28384,0.16032,1.54381,1.14374,0.91763,0.000473668,0.000473668,0.000473668
19,4933.02,1.59336,1.16438,0.92083,0.3797,0.29012,0.27669,0.15676,1.5283,1.15022,0.9141,0.00045953,0.00045953,0.00045953
20,5116.11,1.58852,1.15555,0.92116,0.39644,0.29784,0.28816,0.16213,1.51915,1.12216,0.91645,0.000445393,0.000445393,0.000445393
21,5298.15,1.58673,1.14826,0.92087,0.37357,0.29942,0.28302,0.15888,1.52097,1.14089,0.91853,0.000431256,0.000431256,0.000431256
22,5480.54,1.59334,1.15144,0.9192,0.38281,0.29944,0.28459,0.16191,1.52463,1.11858,0.91358,0.000417119,0.000417119,0.000417119
23,5664.44,1.56856,1.13759,0.91662,0.38736,0.31049,0.29457,0.16707,1.50549,1.10611,0.91023,0.000402982,0.000402982,0.000402982
24,5846.58,1.56376,1.12767,0.9163,0.38287,0.30922,0.29377,0.16841,1.49648,1.10675,0.90966,0.000388844,0.000388844,0.000388844
25,6028.68,1.5573,1.12237,0.91454,0.41533,0.30552,0.2976,0.1691,1.50278,1.10675,0.9113,0.000374707,0.000374707,0.000374707
26,6212.68,1.55931,1.12222,0.91296,0.38737,0.30434,0.28827,0.16516,1.50322,1.11738,0.90893,0.00036057,0.00036057,0.00036057
27,6394.41,1.55225,1.1128,0.91364,0.40182,0.30734,0.29794,0.1691,1.50911,1.10214,0.90992,0.000346433,0.000346433,0.000346433
28,6576.36,1.55983,1.10965,0.90983,0.40857,0.30709,0.29634,0.16849,1.49964,1.09099,0.90786,0.000332296,0.000332296,0.000332296
29,6758.92,1.54786,1.10644,0.90826,0.39708,0.30869,0.29823,0.17063,1.49679,1.09582,0.90831,0.000318158,0.000318158,0.000318158
30,6940.89,1.54101,1.09919,0.90983,0.39455,0.31271,0.29894,0.16953,1.48858,1.09389,0.90574,0.000304021,0.000304021,0.000304021
31,7121.81,1.54649,1.09793,0.90795,0.41534,0.30817,0.30654,0.17665,1.48425,1.08382,0.90747,0.000289884,0.000289884,0.000289884
32,7301.12,1.54611,1.09473,0.90718,0.41911,0.31137,0.30738,0.1744,1.4859,1.08274,0.90829,0.000275747,0.000275747,0.000275747
33,7480.92,1.53802,1.08472,0.90714,0.41334,0.31616,0.31157,0.17807,1.48268,1.07617,0.90634,0.00026161,0.00026161,0.00026161
34,7660.41,1.52142,1.07363,0.90678,0.40988,0.31857,0.31186,0.1784,1.47936,1.07132,0.90673,0.000247472,0.000247472,0.000247472
35,7840.57,1.52681,1.07106,0.90474,0.41877,0.318,0.31231,0.17933,1.47741,1.0744,0.90384,0.000233335,0.000233335,0.000233335
36,8020.88,1.52216,1.0706,0.90369,0.4176,0.32159,0.31282,0.17848,1.47393,1.06876,0.903,0.000219198,0.000219198,0.000219198
37,8201.26,1.51445,1.06641,0.90432,0.4103,0.31536,0.30892,0.17602,1.46946,1.06603,0.90322,0.000205061,0.000205061,0.000205061
38,8381.24,1.51483,1.0609,0.90289,0.41403,0.32101,0.31034,0.17796,1.47234,1.06813,0.90233,0.000190924,0.000190924,0.000190924
39,8561.15,1.51072,1.05738,0.90047,0.41989,0.31995,0.31468,0.17971,1.47032,1.06392,0.90372,0.000176786,0.000176786,0.000176786
40,8742.2,1.50916,1.05238,0.90143,0.41682,0.32618,0.31305,0.17926,1.46452,1.06038,0.90164,0.000162649,0.000162649,0.000162649
