epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1688.76,1.65797,1.58123,0.96901,0.33247,0.2536,0.20546,0.11343,1.55059,1.20052,0.93995,0.000237706,0.000237706,0.000237706
2,1917.31,1.60283,1.27153,0.94257,0.3826,0.28129,0.22955,0.12557,1.50281,1.20264,0.92373,0.000466287,0.000466287,0.000466287
3,2146.32,1.59754,1.2376,0.93572,0.37389,0.27376,0.24701,0.1386,1.49154,1.14106,0.91532,0.000685443,0.000685443,0.000685443
4,2375.34,1.57011,1.20403,0.93129,0.36783,0.30359,0.2571,0.14499,1.4545,1.10995,0.90696,0.000671588,0.000671588,0.000671588
5,2602.82,1.5603,1.18663,0.92588,0.38343,0.31271,0.27086,0.14994,1.4601,1.10389,0.90704,0.000657451,0.000657451,0.000657451
6,2830.1,1.55521,1.15808,0.92379,0.3885,0.31737,0.27666,0.15658,1.45883,1.08313,0.90375,0.000643314,0.000643314,0.000643314
7,3056.73,1.53368,1.14009,0.9195,0.40454,0.32526,0.2929,0.1667,1.43042,1.05678,0.90448,0.000629177,0.000629177,0.000629177
8,3285.1,1.53253,1.12152,0.91326,0.4091,0.33199,0.29746,0.1685,1.43516,1.06413,0.89906,0.00061504,0.00061504,0.00061504
9,3509.41,1.51043,1.09767,0.91183,0.43948,0.33517,0.30862,0.17476,1.421,1.04678,0.89386,0.000600902,0.000600902,0.000600902
10,3737.62,1.49383,1.08561,0.90924,0.39199,0.33277,0.29238,0.16452,1.42209,1.04377,0.89786,0.000586765,0.000586765,0.000586765
11,3960.63,1.49528,1.07558,0.90521,0.43432,0.33791,0.31219,0.17838,1.40135,1.02117,0.89463,0.000572628,0.000572628,0.000572628
12,4180.4,1.49454,1.06714,0.90346,0.44837,0.33634,0.31575,0.17888,1.39977,1.0224,0.89307,0.000558491,0.000558491,0.000558491
13,4408.96,1.484,1.05656,0.90281,0.44733,0.35602,0.32949,0.1872,1.37874,0.99511,0.89061,0.000544354,0.000544354,0.000544354
14,4637.16,1.4624,1.03946,0.89957,0.43713,0.35396,0.3294,0.18799,1.38294,0.99545,0.88895,0.000530216,0.000530216,0.000530216
15,4863.11,1.46768,1.03339,0.89904,0.4499,0.36236,0.33709,0.19237,1.38277,0.99011,0.88707,0.000516079,0.000516079,0.000516079
16,5088.06,1.45153,1.02325,0.897,0.44473,0.35645,0.33395,0.1917,1.3732,0.99447,0.88717,0.000501942,0.000501942,0.000501942
17,5305.49,1.45237,1.02074,0.8942,0.4626,0.35782,0.34039,0.1959,1.36469,0.97204,0.88716,0.000487805,0.000487805,0.000487805
18,5533.63,1.43674,1.00812,0.89448,0.45292,0.35648,0.33369,0.19089,1.37065,0.97919,0.88648,0.000473668,0.000473668,0.000473668
19,5755.81,1.44282,1.00601,0.89469,0.46578,0.35913,0.33877,0.19421,1.36686,0.98145,0.88447,0.00045953,0.00045953,0.00045953
20,5982.26,1.43223,0.99069,0.89083,0.4661,0.36944,0.34491,0.19729,1.36102,0.96664,0.88207,0.000445393,0.000445393,0.000445393
21,6210.08,1.42698,0.98778,0.89252,0.45269,0.37486,0.3494,0.20151,1.34588,0.95475,0.88231,0.000431256,0.000431256,0.000431256
22,6436.85,1.42392,0.98007,0.88898,0.47735,0.36264,0.34797,0.20135,1.34375,0.95845,0.88168,0.000417119,0.000417119,0.000417119
23,6664.53,1.42397,0.97766,0.88747,0.46367,0.3696,0.35009,0.20329,1.35205,0.95042,0.88241,0.000402982,0.000402982,0.000402982
24,6898.8,1.40931,0.96465,0.88556,0.47868,0.36921,0.35438,0.20384,1.34669,0.95057,0.88177,0.000388844,0.000388844,0.000388844
25,7134.12,1.40759,0.96263,0.88752,0.47608,0.37771,0.35567,0.20589,1.33891,0.94709,0.88139,0.000374707,0.000374707,0.000374707
26,7365.62,1.40764,0.96223,0.88452,0.48634,0.37133,0.35676,0.20712,1.33594,0.93608,0.87918,0.00036057,0.00036057,0.00036057
27,7596.25,1.39353,0.943,0.883,0.4717,0.37555,0.35904,0.20749,1.34058,0.93737,0.87978,0.000346433,0.000346433,0.000346433
28,7830.6,1.38681,0.93882,0.87979,0.47373,0.38157,0.35934,0.20799,1.33873,0.93854,0.87843,0.000332296,0.000332296,0.000332296
29,8069.63,1.3914,0.93752,0.88209,0.494,0.36937,0.35644,0.20787,1.33033,0.93619,0.87752,0.000318158,0.000318158,0.000318158
30,8302.37,1.38539,0.9309,0.88125,0.48328,0.38036,0.36454,0.21038,1.32496,0.92967,0.87647,0.000304021,0.000304021,0.000304021
31,8535.89,1.38271,0.927,0.87893,0.4797,0.38385,0.36651,0.2121,1.32741,0.92418,0.87764,0.000289884,0.000289884,0.000289884
32,8771.49,1.37921,0.9186,0.88042,0.49568,0.37565,0.36668,0.21364,1.3255,0.92648,0.87622,0.000275747,0.000275747,0.000275747
33,9008.89,1.37374,0.91594,0.87579,0.49522,0.38299,0.36999,0.21523,1.3219,0.92058,0.87519,0.00026161,0.00026161,0.00026161
34,9241.64,1.37444,0.91171,0.87895,0.48221,0.38325,0.36651,0.2133,1.32543,0.92101,0.87548,0.000247472,0.000247472,0.000247472
35,9469.3,1.3646,0.90321,0.87441,0.50049,0.38146,0.36973,0.21505,1.31768,0.91237,0.87447,0.000233335,0.000233335,0.000233335
36,9700.25,1.36714,0.90366,0.87436,0.49999,0.37461,0.37037,0.21559,1.31731,0.91374,0.87454,0.000219198,0.000219198,0.000219198
37,9937.96,1.35987,0.89557,0.8754,0.50269,0.38163,0.3733,0.217,1.31592,0.9129,0.87439,0.000205061,0.000205061,0.000205061
38,10177.8,1.35801,0.89061,0.87278,0.48819,0.38773,0.37496,0.21874,1.31192,0.90704,0.87283,0.000190924,0.000190924,0.000190924
39,10415.7,1.34853,0.88341,0.87171,0.49448,0.38545,0.37689,0.21983,1.31283,0.90937,0.87377,0.000176786,0.000176786,0.000176786
40,10648.1,1.33788,0.87121,0.87132,0.50941,0.37762,0.3747,0.21919,1.30913,0.90461,0.87224,0.000162649,0.000162649,0.000162649
