epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1998.76,1.65797,1.58123,0.96901,0.33247,0.2536,0.23081,0.13094,1.55059,1.20052,0.93995,0.000237706,0.000237706,0.000237706
2,2227.14,1.59899,1.26537,0.94178,0.36366,0.27166,0.26287,0.14901,1.51272,1.17863,0.92554,0.000452158,0.000452158,0.000452158
3,2455.44,1.5946,1.23342,0.93551,0.38728,0.28315,0.27092,0.15495,1.49028,1.1399,0.91558,0.000643049,0.000643049,0.000643049
4,2683.15,1.56025,1.1967,0.92843,0.36609,0.29896,0.27813,0.1618,1.46367,1.12601,0.90874,0.000607971,0.000607971,0.000607971
5,2909.31,1.55096,1.16877,0.92356,0.41055,0.31338,0.29811,0.17205,1.4458,1.08379,0.90394,0.000572628,0.000572628,0.000572628
6,3134.52,1.53943,1.14111,0.92037,0.41286,0.32466,0.31697,0.18307,1.43361,1.05187,0.90243,0.000537285,0.000537285,0.000537285
7,3363.2,1.51705,1.12042,0.91537,0.41098,0.32575,0.31588,0.18392,1.42624,1.06271,0.9027,0.000501942,0.000501942,0.000501942
8,3589.22,1.51451,1.10144,0.9095,0.42976,0.33475,0.32848,0.1917,1.41658,1.0503,0.89619,0.000466599,0.000466599,0.000466599
9,3813.34,1.48989,1.07359,0.90714,0.43684,0.33576,0.33593,0.19583,1.40719,1.02903,0.89179,0.000431256,0.000431256,0.000431256
10,4041.57,1.47235,1.05632,0.90421,0.40903,0.34117,0.3321,0.19363,1.39683,1.01848,0.89131,0.000395913,0.000395913,0.000395913
11,4259.23,1.43146,1.02336,0.9047,0.4221,0.33885,0.33255,0.19388,1.39402,1.01371,0.89137,0.00036057,0.00036057,0.00036057
12,4471.58,1.42139,1.00235,0.90098,0.44781,0.34228,0.34268,0.20099,1.39309,1.00465,0.89164,0.000325227,0.000325227,0.000325227
13,4689.35,1.40425,0.98347,0.89714,0.43831,0.35118,0.35094,0.20616,1.37642,0.9849,0.88682,0.000289884,0.000289884,0.000289884
14,4904.11,1.39217,0.96686,0.89515,0.45525,0.35392,0.35874,0.2113,1.36567,0.97073,0.88529,0.000254541,0.000254541,0.000254541
15,5122.75,1.38293,0.95391,0.89316,0.45713,0.35691,0.36329,0.2139,1.36892,0.967,0.88477,0.000219198,0.000219198,0.000219198
16,5339.34,1.3716,0.93862,0.88971,0.46467,0.36705,0.36959,0.21832,1.35485,0.95875,0.8827,0.000183855,0.000183855,0.000183855
17,5556.53,1.36179,0.92505,0.88684,0.46365,0.36935,0.37032,0.21961,1.3503,0.95261,0.8805,0.000148512,0.000148512,0.000148512
18,5775.32,1.35141,0.91305,0.88408,0.46712,0.37743,0.37492,0.22057,1.34764,0.94217,0.881,0.000113169,0.000113169,0.000113169
19,5991.47,1.33168,0.89092,0.88011,0.46649,0.37033,0.37539,0.22276,1.34294,0.94245,0.87929,7.7826e-05,7.7826e-05,7.7826e-05
20,6204.69,1.32881,0.88423,0.87952,0.46591,0.37493,0.37798,0.22293,1.3436,0.93744,0.87939,4.2483e-05,4.2483e-05,4.2483e-05
