epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2607.15,1.65797,1.58123,0.96901,0.33247,0.2536,0.20546,0.11343,1.55059,1.20052,0.93995,0.000237706,0.000237706,0.000237706
2,2825.13,1.60312,1.27285,0.94353,0.4024,0.27853,0.23477,0.12948,1.50523,1.18265,0.92508,0.000472807,0.000472807,0.000472807
3,3054.58,1.6014,1.24094,0.93704,0.36209,0.29142,0.24929,0.13949,1.4887,1.1412,0.91647,0.000696415,0.000696415,0.000696415
4,3288.74,1.57173,1.20544,0.93154,0.37395,0.30244,0.26001,0.14694,1.45721,1.11085,0.91038,0.000675478,0.000675478,0.000675478
5,3519.68,1.55859,1.17944,0.92501,0.39352,0.31379,0.27437,0.15437,1.44268,1.08266,0.90398,0.000646501,0.000646501,0.000646501
6,3753.65,1.54651,1.15381,0.92174,0.40683,0.31705,0.28245,0.15963,1.45262,1.06236,0.9049,0.000610483,0.000610483,0.000610483
7,3984.04,1.52542,1.12909,0.91776,0.41421,0.33097,0.29569,0.16638,1.43018,1.05183,0.90497,0.000568311,0.000568311,0.000568311
8,4213.07,1.52184,1.10722,0.91104,0.4232,0.33786,0.30683,0.17577,1.41298,1.04897,0.8948,0.000521024,0.000521024,0.000521024
9,4444.52,1.49307,1.07525,0.9076,0.42711,0.34267,0.31394,0.17833,1.40007,1.03232,0.89039,0.000469786,0.000469786,0.000469786
10,4664.44,1.47331,1.05841,0.90398,0.4027,0.34189,0.30691,0.17548,1.39851,1.01834,0.8921,0.000415859,0.000415859,0.000415859
11,4877.48,1.42901,1.01909,0.9045,0.4416,0.3442,0.32027,0.18147,1.3957,1.00683,0.892,0.00036057,0.00036057,0.00036057
12,5096.07,1.41607,0.99529,0.9004,0.45886,0.34567,0.32551,0.18592,1.38104,0.99086,0.88807,0.000305281,0.000305281,0.000305281
13,5312.51,1.39643,0.97464,0.89573,0.45662,0.34425,0.32831,0.18894,1.37277,0.98041,0.88761,0.000251354,0.000251354,0.000251354
14,5529.62,1.38186,0.95345,0.89341,0.45994,0.35665,0.33698,0.19426,1.35812,0.97057,0.88433,0.000200116,0.000200116,0.000200116
15,5744.28,1.37151,0.93884,0.89098,0.4627,0.35878,0.34097,0.19733,1.35048,0.96168,0.88201,0.000152829,0.000152829,0.000152829
16,5962,1.35733,0.92176,0.88673,0.46755,0.36192,0.34629,0.1996,1.34571,0.95165,0.88019,0.000110657,0.000110657,0.000110657
17,6177.3,1.34805,0.9087,0.88366,0.48026,0.36182,0.34785,0.20229,1.34182,0.942,0.87919,7.46391e-05,7.46391e-05,7.46391e-05
18,6399.1,1.33933,0.89823,0.88156,0.48029,0.36546,0.35095,0.20405,1.33628,0.9355,0.87854,4.56616e-05,4.56616e-05,4.56616e-05
19,6615.17,1.32477,0.88398,0.87879,0.47488,0.37004,0.35168,0.20437,1.33414,0.9347,0.87812,2.44381e-05,2.44381e-05,2.44381e-05
20,6834.11,1.32757,0.88517,0.87908,0.47736,0.36737,0.35301,0.20562,1.33048,0.93104,0.87749,1.14913e-05,1.14913e-05,1.14913e-05
